Fri Jan  3 14:57:29 2020    profile.txt

         5497 function calls (5331 primitive calls) in 0.862 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:742(ArgumentTypeError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:900(_StoreTrueAction)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:917(_StoreFalseAction)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:997(_CountAction)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:2199(_get_nargs_pattern)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.6/argparse.py:604(<listcomp>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


